Comparison,log2FoldChange,padj,Gene
SF vs NC,-1.186392643,0.000516809,C10orf128
SF vs NC,-1.186216855,0.00734837,LRRC56
SF vs NC,-1.184762663,0.000611747,LOC112532848
SF vs NC,-1.184756932,0.020553412,VSTM2L
SF vs NC,-1.184607917,0.025009969,LOC121111686
SF vs NC,-1.184603605,0.013896714,LOC107052653
SF vs NC,-1.182215662,0.040720453,ARHGEF10
SF vs NC,-1.181259095,0.00469067,DNAH3
SF vs NC,-1.17991074,0.025212831,SCRN1
SF vs NC,-1.179808518,0.02075017,LOC418303
SF vs NC,-1.179589722,0.004083776,LOC107049256
SF vs NC,-1.178973598,0.009503576,ATP8B2
SF vs NC,-1.178157645,0.045882888,LOC124417315
SF vs NC,-1.175399448,0.001597821,F5
SF vs NC,-1.173698604,0.025009925,LOC112531622
SF vs NC,-1.173018745,6.46E-10,ABCC13
SF vs NC,-1.172577423,0.04497415,TTLL2
SF vs NC,-1.170697422,0.015032306,TM6SF1
SF vs NC,-1.17061098,0.016267902,LOC121109113
SF vs NC,-1.169922046,0.004036619,LOC107052393
SF vs NC,-1.167659641,0.019733912,PALD1
SF vs NC,-1.166893307,0.001091013,SDR42E2
SF vs NC,-1.166548702,0.001141084,LOC101751892
SF vs NC,-1.166329716,0.003552358,PLPPR5
SF vs NC,-1.165587227,0.031513855,RAB11FIP5
SF vs NC,-1.163420794,0.003436212,LOC112530794
SF vs NC,-1.161635645,0.042840778,CUX2
SF vs NC,-1.161609393,0.029578575,OGDHL
SF vs NC,-1.16032595,0.031651903,SLC6A7
SF vs NC,-1.160255273,0.00641496,J6367_mgp13
SF vs NC,-1.157719564,0.028813027,HRASLS
SF vs NC,-1.156505653,0.000294859,SCGN
SF vs NC,-1.155525924,0.004955673,LOC771494
SF vs NC,-1.154063416,0.02829869,WWC3
SF vs NC,-1.153642858,0.014414615,STXBP5L
SF vs NC,-1.1531319,0.000755323,PLEKHD1
SF vs NC,-1.149242179,0.049177055,PTPRB
SF vs NC,-1.148748663,0.001459672,VNN2
SF vs NC,-1.148531182,0.026361034,IQCF6
SF vs NC,-1.146911078,0.002013147,PCNX4
SF vs NC,-1.146178934,0.01192146,LOC419322
SF vs NC,-1.144472676,0.001331243,GP1BB
SF vs NC,-1.144002421,0.045488574,LOC107054925
SF vs NC,-1.142257734,0.003394107,NEK3
SF vs NC,-1.141107984,0.01618227,PLAT
SF vs NC,-1.140803488,0.002005405,GC
SF vs NC,-1.140725489,0.042843313,LOC121108502
SF vs NC,-1.140639883,0.010773095,LOC420965
SF vs NC,-1.14056009,0.004868709,LOC124418402
SF vs NC,-1.135715704,0.005370826,GCG
SF vs NC,-1.13560202,0.03175439,LOC107053405
SF vs NC,-1.135199344,0.025009925,LOC121111322
SF vs NC,-1.132908978,0.000176837,ANKS6
SF vs NC,-1.130815078,0.02565391,PKNOX2
SF vs NC,-1.130225989,0.010076292,LOC121107464
SF vs NC,-1.128163301,0.007456136,PODN
SF vs NC,-1.12726793,0.010525288,J6367_mgp07
SF vs NC,-1.1266511,0.014566484,LOC124418077
SF vs NC,-1.12580714,0.014422395,J6367_mgp10
SF vs NC,-1.125063344,0.013216252,CERS3
SF vs NC,-1.124406204,0.026566914,PLXNA2
SF vs NC,-1.121332339,0.013644058,RAP1GAP1
SF vs NC,-1.119894707,0.001459672,SRPX
SF vs NC,-1.119168007,0.045850674,LOC107053105
SF vs NC,-1.117778949,2.62E-06,ULK2
SF vs NC,-1.117305982,0.033028509,FAXDC2
SF vs NC,-1.1173059,0.012683445,LOC107054098
SF vs NC,-1.117051504,0.013894783,EGFL7
SF vs NC,-1.115213921,0.044518826,LOC107049457
SF vs NC,-1.113978475,0.040575446,TP53I11
SF vs NC,-1.113938677,0.016548739,ST8SIA5
SF vs NC,-1.108660647,0.015554213,J6367_mgp06
SF vs NC,-1.10739869,0.000874764,C3orf18
SF vs NC,-1.10289,0.034205254,SULT6B1
SF vs NC,-1.100860237,0.048375902,MOB3C
SF vs NC,-1.100483071,0.001525652,CACNA1B
SF vs NC,-1.09988344,0.027099368,LOC121110497
SF vs NC,-1.09946897,0.000712499,MVB12B
SF vs NC,-1.099051682,0.010076292,LOC121113144
SF vs NC,-1.09728691,0.025212831,LOC121107312
SF vs NC,-1.097158164,0.024827376,HAL
SF vs NC,-1.093874126,0.004710391,PAX6
SF vs NC,-1.092087939,0.015177893,LOC107049447
SF vs NC,-1.091670685,0.037966682,LOC107054880
SF vs NC,-1.09004456,0.002685674,DNM1
SF vs NC,-1.088164654,0.002300798,MTR
SF vs NC,-1.08633319,0.035615417,ADAMTS8
SF vs NC,-1.084047525,0.00649264,LOC101749407
SF vs NC,-1.083856816,0.02910643,CHRNA3
SF vs NC,-1.082886337,0.006684592,CGTL
SF vs NC,-1.082421914,0.018674261,VTCN1
SF vs NC,-1.081887306,0.002390227,PECAM1
SF vs NC,-1.081445652,0.004925448,COMP
SF vs NC,-1.079793339,0.007797719,SGO2
SF vs NC,-1.077683305,0.00279641,PRKAA2
SF vs NC,-1.076706535,0.00021742,PXDC1
SF vs NC,-1.075859433,0.009262804,HLF
SF vs NC,-1.075691284,0.003520479,AMIGO2
SF vs NC,-1.075134062,0.011552465,SLC19A2
SF vs NC,-1.07408566,0.003900122,LOC101750121
SF vs NC,-1.073390303,0.002015527,SCHIP1
SF vs NC,-1.073144461,0.013396817,J6367_mgp11
SF vs NC,-1.07288002,0.00146077,PER2
SF vs NC,-1.06991801,0.009007236,GATA2
SF vs NC,-1.069811493,0.048269205,EML1
SF vs NC,-1.069532936,0.013580086,PHLDB2
SF vs NC,-1.069036134,0.001810604,PITPNM3
SF vs NC,-1.069029731,0.032522728,GLI3
SF vs NC,-1.068698834,0.042803033,KCNT1
SF vs NC,-1.068490782,3.84E-07,CAND2
SF vs NC,-1.067292042,0.005981903,MYOM1
SF vs NC,-1.067188906,0.002408826,CAPSL
SF vs NC,-1.065935081,4.43E-05,PCGF3
SF vs NC,-1.061663623,0.013144497,LOC121109066
SF vs NC,-1.06047653,0.001777113,EDA
SF vs NC,-1.056213803,0.029617839,LOC101748323
SF vs NC,-1.055964778,0.002091504,IQUB
SF vs NC,-1.053983582,0.020897854,TRIM9
SF vs NC,-1.052818159,0.00013349,PTBP2
SF vs NC,-1.050859528,0.04396461,LOC428250
SF vs NC,-1.050639089,0.011766808,LOC112530139
SF vs NC,-1.050524202,0.001298307,LOC107057415
SF vs NC,-1.049581801,0.021421723,CYSLTR1
SF vs NC,-1.048533596,0.00326743,FZD3
SF vs NC,-1.045308079,0.001745396,ABCC5
SF vs NC,-1.044567143,0.028775262,RNF2
SF vs NC,-1.044059129,0.01238781,PI16
SF vs NC,-1.041033863,0.006988859,GALNT9
SF vs NC,-1.041016144,0.003192795,GATSL3
SF vs NC,-1.040911371,0.037015685,LOC101749540
SF vs NC,-1.040614856,0.009319816,LOC121107117
SF vs NC,-1.040169073,0.003919931,PHTF2
SF vs NC,-1.03902949,0.000684324,KCNK3
SF vs NC,-1.038206026,0.029677041,LOC124417166
SF vs NC,-1.037339647,0.0390602,MAPK11
SF vs NC,-1.036484955,0.016694923,CHAD
SF vs NC,-1.032922974,0.025622037,SYT11
SF vs NC,-1.032144562,0.003420082,LOC107052824
SF vs NC,-1.030305814,0.001129929,FAM92A
SF vs NC,-1.030234,0.006323391,LIMS2
SF vs NC,-1.029883166,0.015645798,SORCS1
SF vs NC,-1.029229616,0.000550641,ALKBH3
SF vs NC,-1.028543848,0.01061259,TMPRSS11F
SF vs NC,-1.027941706,0.003267177,LOC771303
SF vs NC,-1.027647122,0.039313032,CDC42EP3
SF vs NC,-1.026125124,0.025004991,LOC121108476
SF vs NC,-1.024444567,0.00394735,RAB26
SF vs NC,-1.023935408,0.020553412,RAB36
SF vs NC,-1.019715653,0.026451971,CYP2AC2
SF vs NC,-1.01957605,0.035773282,RORC
SF vs NC,-1.019273709,0.000800861,LOC121111245
SF vs NC,-1.013362277,0.005223492,FCN2
SF vs NC,-1.012472256,0.000808494,GPCPD1
SF vs NC,-1.011315752,0.014148564,PRXL2A
SF vs NC,-1.010537554,0.025853967,PADI1
SF vs NC,-1.009265259,0.008468789,LOC100858426
SF vs NC,-1.008970778,0.034938325,ZNF704
SF vs NC,-1.008814999,0.00182094,LOC101748694
SF vs NC,-1.00863775,0.040736708,LOC121110046
SF vs NC,-1.004662549,0.025805718,LOC107051868
SF vs NC,-1.003689085,0.002107363,STKLD1
SF vs NC,-1.001904236,0.025933161,LOC112530509
SF vs NC,-1.00186765,0.001091013,LOC107052014
SF vs NC,-1.001429364,0.005370826,CCDC92
SF vs NC,-1.000780895,0.025662588,SNAP25
SF vs NC,1.000558392,0.006414677,F11R
SF vs NC,1.005499075,0.009867713,RNF223
SF vs NC,1.008127974,6.38E-05,GLTP
SF vs NC,1.009300851,0.008637059,SC5D
SF vs NC,1.014901161,0.000460873,AVPI1
SF vs NC,1.015598647,0.000877762,CORO1B
SF vs NC,1.017893306,0.011591049,CKS1B
SF vs NC,1.020156454,0.013297211,LOC121108974
SF vs NC,1.020602649,0.001345592,NFKBIE
SF vs NC,1.023212137,0.00504289,CLDN23
SF vs NC,1.023318007,0.04734742,MIR1682
SF vs NC,1.029233949,4.46E-05,FDPS
SF vs NC,1.030963488,0.03691115,STEAP3
SF vs NC,1.036481235,0.004291252,B2M
SF vs NC,1.039638893,0.007825999,LOC107050620
SF vs NC,1.042181234,0.001355591,LOC426514
SF vs NC,1.042990241,0.000137889,TAPBP
SF vs NC,1.048113457,0.025268829,MALL
SF vs NC,1.048833795,0.008097908,EREG
SF vs NC,1.04946895,0.019850409,LGALS2
SF vs NC,1.049795548,1.29E-05,EHF
SF vs NC,1.050894445,0.00683336,LOC121109567
SF vs NC,1.051380357,0.004690751,CS
SF vs NC,1.052286275,0.003594969,HIGD2A
SF vs NC,1.05411845,4.32E-06,IRF1
SF vs NC,1.055575255,0.006333108,COX8A
SF vs NC,1.057609962,0.043586371,ROPN1L
SF vs NC,1.058697832,0.001163052,PTAFR
SF vs NC,1.06072994,0.025057064,LOC107049257
SF vs NC,1.061190103,0.001361159,BDH1A
SF vs NC,1.064721693,0.00609205,MAFF
SF vs NC,1.068606743,0.00548192,OASL
SF vs NC,1.070253203,0.013667802,CHDH
SF vs NC,1.073015752,0.00216865,SARAF
SF vs NC,1.074358603,0.004173861,GPRIN1
SF vs NC,1.076055236,0.002236012,LOC124417069
SF vs NC,1.080130378,0.004492045,TNFSF15
SF vs NC,1.093948442,0.012149609,LOC101749531
SF vs NC,1.09542209,0.011167067,MGST3
SF vs NC,1.097182009,0.003938093,GBP4L
SF vs NC,1.104378412,5.44E-06,BCL2L10
SF vs NC,1.104637369,0.01487309,PDE9A
SF vs NC,1.110037991,0.000244977,JUND
SF vs NC,1.118848183,0.001832,B3GNT7
SF vs NC,1.12048833,0.019450025,LOC121107431
SF vs NC,1.121640719,0.000467498,PRR15L
SF vs NC,1.121685643,0.002457628,LOC107054325
SF vs NC,1.126637915,0.040646481,HIST1H103
SF vs NC,1.127539279,0.006294297,LOC420486
SF vs NC,1.132813815,0.011376231,LOC101748577
SF vs NC,1.134667694,0.016285669,LOC107051508
SF vs NC,1.13775588,0.00523641,GIMAP7L5
SF vs NC,1.143209001,3.07E-05,RNF19B
SF vs NC,1.146535132,0.008775536,ANXA2
SF vs NC,1.149425168,0.006836537,LOC121109775
SF vs NC,1.153452724,0.005885449,RFLNB
SF vs NC,1.160315303,0.009537748,TSPAN1
SF vs NC,1.165244914,0.004422152,PRF1
SF vs NC,1.171800388,0.003722044,CMPK2
SF vs NC,1.173137368,0.012436774,FGF22
SF vs NC,1.173296878,2.70E-06,TAP2
SF vs NC,1.175932394,0.000655554,PIGBOS1
SF vs NC,1.1770566,0.001129929,SRCIN1
SF vs NC,1.18133656,0.005533857,IFNG
SF vs NC,1.187425391,0.000932426,LOC107055390
SF vs NC,1.19407996,0.005171026,C9orf116
SF vs NC,1.195335093,3.39E-07,GIMAP6
SF vs NC,1.199811991,0.000141336,SLC41A3
SF vs NC,1.199942548,0.002945715,LAG3
SF vs NC,1.2016662,0.007839537,ABCB5
SF vs NC,1.207555233,0.002186213,MET
SF vs NC,1.208618843,0.00351916,B3GNT3
SF vs NC,1.216765592,0.011894068,LOC124417304
SF vs NC,1.222117836,0.000161749,KRT8
SF vs NC,1.223706189,2.42E-05,DUSP4
SF vs NC,1.233666114,0.000248866,LOC770612
SF vs NC,1.234510261,0.048003364,NKX6-1
SF vs NC,1.238312561,0.001021344,LOC107049632
SF vs NC,1.240108021,0.000655554,TMEM173
SF vs NC,1.240619694,0.010773095,LAPTM4B
SF vs NC,1.243779321,0.002236012,LOC121107019
SF vs NC,1.251486243,0.000288794,LOC427882
SF vs NC,1.256786292,2.70E-06,C1R
SF vs NC,1.26112538,0.004972373,USP41
SF vs NC,1.266180144,0.00078106,HS6ST1
SF vs NC,1.268897093,0.004397724,MIS12
SF vs NC,1.270767866,0.004213463,CHST4
SF vs NC,1.283005032,0.041307738,CCL26
SF vs NC,1.283402412,1.59E-05,UBE2L6
SF vs NC,1.283626131,0.011109393,SPINK2
SF vs NC,1.30146528,0.029490183,KCNQ1
SF vs NC,1.303047437,0.010750175,SERPINB1
SF vs NC,1.315870543,0.001361159,S100A10
SF vs NC,1.316348637,0.002106886,FOS
SF vs NC,1.3196176,0.016229189,LOC101747310
SF vs NC,1.321808619,2.17E-06,GIMAP1-GIMAP5
SF vs NC,1.329643235,0.031381248,LOC101750271
SF vs NC,1.337328677,0.000968889,LOC121106933
SF vs NC,1.337999584,0.002818304,LOC107049469
SF vs NC,1.345907283,6.09E-05,ARID5A
SF vs NC,1.347168215,0.000713537,NT5C1B
SF vs NC,1.354669694,0.008192201,LOC112533599
SF vs NC,1.3554704,0.011467034,EPHB2
SF vs NC,1.359632588,0.000537036,AGR2
SF vs NC,1.359848778,8.15E-05,ALDOC
SF vs NC,1.36227536,0.002300798,ANGPTL6
SF vs NC,1.37034815,0.002927375,FAM3B
SF vs NC,1.371040808,0.041824978,PLA2G2E
SF vs NC,1.374763747,0.000537036,LOC107052763
SF vs NC,1.382538858,6.69E-05,FGFBP1
SF vs NC,1.386255127,4.60E-06,CLDN3
SF vs NC,1.387460178,0.001361159,TNFRSF6B
SF vs NC,1.407785331,0.000525079,PTCHD3
SF vs NC,1.410311002,0.00083217,LOC121107791
SF vs NC,1.410748708,0.021094209,LIPG
SF vs NC,1.416927077,3.48E-05,LOC121107017
SF vs NC,1.427022113,0.017824574,NKX6-2
SF vs NC,1.43030738,3.27E-07,TAP1
SF vs NC,1.434376386,0.001508966,CD7
SF vs NC,1.436646954,0.024953358,LOC112531190
SF vs NC,1.437768872,0.015480923,ASCL1
SF vs NC,1.438044851,0.027398087,B3GALT5
SF vs NC,1.443283051,0.005773076,FRMD3
SF vs NC,1.44750313,0.041964619,LOC107054916
SF vs NC,1.453628779,0.024306701,LOC107053928
SF vs NC,1.462086864,0.000513843,BF2
SF vs NC,1.474166554,0.000612946,PLAC8L1
SF vs NC,1.477845277,0.00103775,CDKN1A
SF vs NC,1.482298388,0.000450001,S100A6
SF vs NC,1.489465396,0.046889549,SCNN1D
SF vs NC,1.516271273,0.005454195,SLC2A9
SF vs NC,1.51778222,0.015808051,SNPH
SF vs NC,1.520301352,0.009262804,RHOV
SF vs NC,1.525942914,0.007517076,ADM2
SF vs NC,1.531142819,0.000251419,SOCS1
SF vs NC,1.533078615,0.00043978,LOC101750892
SF vs NC,1.538380323,0.000507162,BEND4
SF vs NC,1.547339887,0.00646149,RAB2B
SF vs NC,1.554371451,0.036610749,CSF3
SF vs NC,1.569930451,0.013026806,LOC112530086
SF vs NC,1.586722651,0.013176898,SLC51B
SF vs NC,1.589307094,0.004300319,LOC121108952
SF vs NC,1.589465297,0.025583193,LOC112531591
SF vs NC,1.596734441,0.019176503,LOC107052359
SF vs NC,1.601645552,0.003071737,COL17A1
SF vs NC,1.604995219,0.008834755,PADI3
SF vs NC,1.609872654,0.006414677,F8
SF vs NC,1.614503911,0.011470555,RASD1
SF vs NC,1.61836571,0.011219267,ITGB6
SF vs NC,1.670005204,0.020896539,LOC101748867
SF vs NC,1.676676749,2.54E-06,LOC121110055
SF vs NC,1.68062111,0.00567608,HIST1H46L6
SF vs NC,1.690012325,0.001392215,PDCD1LG2
SF vs NC,1.692633185,0.0111964,NPFFR1
SF vs NC,1.69710724,0.00663047,IL18BP
SF vs NC,1.714466497,0.005725848,TUBA4AL
SF vs NC,1.721703691,0.004201195,SERPINA10
SF vs NC,1.756860645,9.86E-08,SERPING1
SF vs NC,1.768160111,0.020675562,LOC124417695
SF vs NC,1.772446161,9.66E-06,GVINP1
SF vs NC,1.775274949,0.018837158,LOC396365
SF vs NC,1.792006605,0.007248555,TMEM136-1
SF vs NC,1.800788173,0.001631643,ACOD1
SF vs NC,1.815748978,0.003900122,LOC101751171
SF vs NC,1.816619127,0.009880525,SLC6A14
SF vs NC,1.817555126,9.88E-10,LOC420368
SF vs NC,1.825979509,0.003429759,AVD
SF vs NC,1.865213998,0.000155029,CDH3
SF vs NC,1.880488143,0.018092966,LY6CLEL
SF vs NC,1.900428179,0.025675671,GPRC5A
SF vs NC,1.93231008,0.004213463,HSPB9
SF vs NC,1.940823293,6.17E-05,PLACL2
SF vs NC,1.982584398,0.001261608,CYYR1
SF vs NC,1.998983175,0.012683445,GIMAP7L2
SF vs NC,1.999022131,2.17E-06,NEURL1B
SF vs NC,2.05789034,0.000539282,LOC107050495
SF vs NC,2.069742209,0.000133265,GPX2
SF vs NC,2.081091594,0.004825197,CD200L
SF vs NC,2.113963837,0.014227333,LOC121106625
SF vs NC,2.14992373,0.003432071,VILL
SF vs NC,2.157459976,2.92E-09,IFI27L2
SF vs NC,2.181297101,0.003709381,MYBPC1
SF vs NC,2.191736641,0.010554038,LOC107054425
SF vs NC,2.204369618,0.01933107,LOC121108756
SF vs NC,2.225839904,8.59E-06,SOCS3
SF vs NC,2.237700008,0.005955411,SH3BGR
SF vs NC,2.284257895,2.41E-10,BATF3
SF vs NC,2.290151543,0.001749643,GBP
SF vs NC,2.346229226,8.53E-05,LOC422993
SF vs NC,2.364832989,0.023429857,PKP1
SF vs NC,2.399672831,0.020479175,PRDM8
SF vs NC,2.411325278,1.41E-07,IFI6
SF vs NC,2.445131342,0.00756548,LOC121110770
SF vs NC,2.498404461,0.000244977,F3
SF vs NC,2.501704759,1.12E-06,LY6E
SF vs NC,2.532084917,0.000708666,IL4I1
SF vs NC,2.619716601,0.000322477,LYGL
SF vs NC,2.691192984,3.98E-05,REG4
SF vs NC,2.696447863,0.001071649,LOC101750739
SF vs NC,2.703554383,0.002310434,LOC107057061
SF vs NC,2.776564101,0.000193777,LOC121108625
SF vs NC,2.793708203,4.49E-05,SCD
SF vs NC,3.031679221,1.31E-06,SERPINB5
SF vs NC,3.042457789,0.001175812,ART1L1
SF vs NC,3.144958016,0.000307442,SLC10A2
SF vs NC,3.209989894,0.025672561,LOC430700
SF vs NC,3.253349938,0.004684159,MMP1
SF vs NC,3.500993795,3.00E-05,TGM4
SF vs NC,3.661253292,1.25E-05,KRT23
SF vs NC,4.166213696,0.000106353,MMP7
SF vs NC,4.21891261,8.58E-06,SPP1
SF vs NC,4.539078484,3.84E-07,APOA2
SF vs NC,4.869275379,2.17E-06,KRT24
SF vs NC,5.270056703,0.006323391,MHM2
SF vs NC,5.370521038,1.66E-08,LOC112533405
SF vs NC,6.370643153,6.62E-07,KRT13
