Comparison,log2FoldChange,padj,Gene
SF vs NC,-1.966886877,0.000337871,LOC101749758
SF vs NC,-1.9625715,0.039136392,C1QTNF6
SF vs NC,-1.946902829,0.035258465,GALNT18
SF vs NC,-1.941824559,0.026113553,RARB
SF vs NC,-1.939635623,0.017205249,ANGPTL2
SF vs NC,-1.936892687,0.025990692,LPAR4
SF vs NC,-1.929709822,0.041964619,COL13A1
SF vs NC,-1.927177377,0.002261787,KCNMB2
SF vs NC,-1.926917456,0.044324048,MPPED1
SF vs NC,-1.92500175,0.020215848,LOC107054877
SF vs NC,-1.924600766,0.002758526,LOC101752163
SF vs NC,-1.923761,0.033051179,ACTN2
SF vs NC,-1.921554776,0.000583644,LOC107054601
SF vs NC,-1.91698656,0.028149433,COL4A5
SF vs NC,-1.904409572,0.00017137,PCLO
SF vs NC,-1.903056891,0.012194765,CNTNAP1
SF vs NC,-1.896629498,0.033173625,ANKRD29
SF vs NC,-1.895863678,0.001544361,IGFN1
SF vs NC,-1.892102072,0.02656618,PDE1C
SF vs NC,-1.884518961,0.03081318,HOXA4
SF vs NC,-1.88435528,0.003758173,DDO
SF vs NC,-1.87902168,0.038447089,PAMR1
SF vs NC,-1.870579308,0.006626029,ADAMTS13
SF vs NC,-1.869671228,0.024085244,LPAR1
SF vs NC,-1.866591548,0.001141084,SFRP1
SF vs NC,-1.865743298,0.031906896,PPP1R17
SF vs NC,-1.865009032,0.034445745,JAM3
SF vs NC,-1.863681987,0.044590422,GYPC
SF vs NC,-1.860025646,0.008707641,ATP2B2
SF vs NC,-1.857375,0.034092986,TMEFF2
SF vs NC,-1.85345106,0.000296529,ARHGAP36
SF vs NC,-1.851781937,0.000583644,CHRM5
SF vs NC,-1.848643403,0.000141362,LOC101747364
SF vs NC,-1.845352816,0.015049584,FAM19A3
SF vs NC,-1.842720861,0.002410931,LOC121108626
SF vs NC,-1.840764038,0.007296944,HBA1
SF vs NC,-1.837262501,0.037807331,GAS2
SF vs NC,-1.835309005,0.004982166,SLC23A1
SF vs NC,-1.833030032,0.00615493,LOC121106769
SF vs NC,-1.829569569,0.02935432,LOC101748011
SF vs NC,-1.822533778,0.00022488,LOC107054964
SF vs NC,-1.816496208,0.017192164,SSBP2
SF vs NC,-1.810761075,0.020852529,ACACB
SF vs NC,-1.805425629,0.040117908,CMTM8
SF vs NC,-1.800330905,0.008647191,HBBA
SF vs NC,-1.796382393,0.003552358,FAM46C
SF vs NC,-1.795398589,0.002881187,LOC107052934
SF vs NC,-1.794824178,0.013753853,VEGFC
SF vs NC,-1.79226244,0.005448396,MOG
SF vs NC,-1.781658484,0.044987936,MINAR1
SF vs NC,-1.780286622,0.030431807,CHST15
SF vs NC,-1.779984359,0.024838433,FGL1A
SF vs NC,-1.771609915,0.0219409,LOC427400
SF vs NC,-1.763197189,0.026671202,NKD1
SF vs NC,-1.761399321,0.036159498,TEK
SF vs NC,-1.755633428,0.02281715,ARL8BL
SF vs NC,-1.753126395,0.012491185,MYO7L2
SF vs NC,-1.748479046,0.013144497,FAM20C
SF vs NC,-1.745884724,0.000647001,P3H3
SF vs NC,-1.744491596,0.048894201,ALPL
SF vs NC,-1.742863747,0.011348966,LOC107049386
SF vs NC,-1.742555667,0.020553412,GUCY1B3
SF vs NC,-1.739418467,0.000267617,SPTLC3
SF vs NC,-1.737891159,0.000469906,LOC121107465
SF vs NC,-1.732340468,0.026894315,NRAP
SF vs NC,-1.731928612,0.037966682,NKAIN4
SF vs NC,-1.730419628,0.020215848,STON1
SF vs NC,-1.728195089,0.032104376,DAB2
SF vs NC,-1.727311298,0.030897173,KITLG
SF vs NC,-1.726614246,0.012149609,LY86
SF vs NC,-1.721483988,0.008441688,NPY6R
SF vs NC,-1.72148118,0.003382757,CCK
SF vs NC,-1.719160211,0.02656618,LOC112532538
SF vs NC,-1.715288272,0.003245497,MT4
